dataset,held_out,seed,shift_balacc,seen_balacc,shift_ECE,seen_ECE,shift_Brier,shift_cov_marg,shift_cov_bal,seen_cov_marg,shift_setsize,shift_AURC,seen_AURC,set_empty,set_normal_only,set_attack_only,set_both
UAVIDS-2025,Blackhole Attack,4,0.7051262961923741,0.9932081846176422,0.4636769450458789,0.0008003919825478279,0.440719100839981,0.40845168476747423,0.6005079292257971,0.9135884302500753,0.40852130325814534,0.20397303495301453,3.912832023039755e-05,0.5914786967418546,0.0761974380395433,0.3323238652186021,0.0
UAVIDS-2025,Wormhole Attack,4,0.9105458866825117,0.9999642422942143,0.15229586771019138,4.891624785336847e-05,0.15587092601179547,0.6322812151616499,0.7171057190100536,0.9179518072289157,0.6420707915273133,0.03431476418347588,3.6289737262273244e-09,0.3579292084726867,0.0846571906354515,0.5574136008918618,0.0
UAVIDS-2025,Flooding Attack,4,0.9911191071692887,0.9936446853622164,0.008941432876400179,0.0013339957679534414,0.00667465074202368,0.7213122090941639,0.7633188316296904,0.9100268576544315,0.7213122090941639,0.00016217722403873426,3.504678748581618e-05,0.278687790905836,0.09586466165413533,0.6254475474400286,0.0
UAVIDS-2025,Sybil Attack,5,0.9936760301087741,0.994110686607588,0.003172625888243334,0.0008444509309191938,0.003912062098503506,0.8851844914778049,0.8595813746024222,0.9095347332509852,0.8851844914778049,5.754802731811068e-05,3.693674914203125e-05,0.11481550852219517,0.08117625023412624,0.8040082412436786,0.0
UAVIDS-2025,Blackhole Attack,5,0.7283539201690913,0.994354535400982,0.41237624271170686,0.0011534889338481857,0.39900712864833976,0.4096700083542189,0.5996316489062112,0.909972883398614,0.40970481759955446,0.19263389920071922,3.8584783308781e-05,0.5902951824004455,0.0758493455861877,0.33385547201336674,0.0
UAVIDS-2025,Wormhole Attack,5,0.9084381642503871,0.9998569691768576,0.1349816025752889,0.0002293959170066074,0.14284452571780948,0.6361482720178372,0.7245596586058678,0.9108433734939759,0.6439172240802675,0.03520360890793549,1.1979528442271848e-07,0.3560827759197324,0.0837165551839465,0.560200668896321,0.0
UAVIDS-2025,Flooding Attack,5,0.9944802619415403,0.9932241939255306,0.013346160282506753,0.0008799688286500236,0.005909123015923586,0.7359917651271035,0.7722952849763688,0.9122649955237243,0.7360365198711063,0.00011705443048434553,4.558800938411773e-05,0.26396348012889365,0.0960436806301468,0.6399928392409595,0.0
UAVIDS-2025,Sybil Attack,6,0.9928994917090708,0.9941279408445591,0.004032511116789908,0.00123661867546863,0.004279171091832593,0.9416744708746957,0.8919188811501221,0.9128286571378155,0.9416744708746957,5.9523574752149105e-05,4.167020149360122e-05,0.058325529125304365,0.08140101142536055,0.8602734594493351,0.0
UAVIDS-2025,Blackhole Attack,6,0.7407065336492872,0.9927911446411258,0.37600663345798624,0.001911215929882908,0.36363415562716717,0.4089390142021721,0.6038690689534405,0.9167219041880085,0.4089390142021721,0.18245320698932677,4.747821508470781e-05,0.591060985797828,0.07675438596491228,0.3321846282372598,0.0
UAVIDS-2025,Wormhole Attack,6,0.9004830177106493,0.9999642422942143,0.15595083432028242,6.536528288586486e-05,0.16294187900260884,0.6333960423634337,0.7232172545333537,0.9160240963855422,0.6435340022296544,0.036577636390350665,2.5407408152759297e-08,0.3564659977703456,0.08612040133779264,0.5574136008918618,0.0
UAVIDS-2025,Flooding Attack,6,0.9942097104665468,0.9942506368928571,0.0022717522190717106,0.002110018194934254,0.0021210038065350273,0.685374149659864,0.7401491340455144,0.9095232766338407,0.685374149659864,3.895360131163573e-05,3.898464801181284e-05,0.31462585034013607,0.09510383100608664,0.5902703186537773,0.0
UAVIDS-2025,Sybil Attack,7,0.993281462679277,0.9941802082983555,0.0038135369789706825,0.0019476972701700974,0.004517637804855729,0.946956358868702,0.8974002684854389,0.9109464149167696,0.9474433414497097,0.00013664160628353147,4.730304686581432e-05,0.05255665855029032,0.08244989698445401,0.8649934444652556,0.0
UAVIDS-2025,Blackhole Attack,7,0.7229748882248488,0.9937098190163232,0.42337840100837987,0.0015750568574869148,0.4062021450931685,0.40879977722082983,0.6060263344918762,0.9167821633021994,0.4089390142021721,0.19477022060782348,4.615814942518782e-05,0.591060985797828,0.07734614313561682,0.3315928710665553,0.0
UAVIDS-2025,Wormhole Attack,7,0.9033389557617113,0.99980894153611,0.1719693506420682,5.9601379532425725e-05,0.172812625532198,0.6404333890746934,0.7298381530164637,0.9101204819277109,0.647366220735786,0.03469159220664655,3.9930739769303316e-08,0.352633779264214,0.0834726867335563,0.5638935340022296,0.0
UAVIDS-2025,Flooding Attack,7,0.9878357562781226,0.9947582600065853,0.01097418035784011,0.001209525631935359,0.011824259473442655,0.6783476548514142,0.7472673758838331,0.9181960608773501,0.6783476548514142,0.0004915728952647582,3.2050637844071736e-05,0.32165234514858576,0.09810239885427856,0.5802452559971357,0.0
