model,dataset,held_out,seed,shift_balacc,shift_ECE,shift_cov_marg,shift_cov_bal,seen_cov_marg
RandomForest,UAVIDS-2025,Wormhole Attack,4,0.9110640938678065,0.09190252229654405,0.5237597547380156,0.6701139036671732,0.9285542168674699
RandomForest,UAVIDS-2025,Flooding Attack,0,0.9831818913771071,0.03749220486010859,0.5637307554600788,0.6608200800160053,0.9133281110116384
RandomForest,UAVIDS-2025,Flooding Attack,1,0.9826596294366511,0.036259208441051946,0.5684747583243824,0.6716231624593834,0.9137197851387645
RandomForest,UAVIDS-2025,Flooding Attack,2,0.9841215020107017,0.04538322759332235,0.536609380594343,0.648441130113572,0.9123769024171889
RandomForest,UAVIDS-2025,Flooding Attack,3,0.9908927439612532,0.05032670604470093,0.5197815968492661,0.6410638582809083,0.9147269471799463
RandomForest,UAVIDS-2025,Flooding Attack,4,0.981263768169375,0.03922368355130856,0.5591657715717866,0.6670134858253256,0.9174127126230975
MLP,UAVIDS-2025,Sybil Attack,0,0.9859167777635244,0.0015390300659174226,0.9695448585877505,0.9228592198451155,0.9033586259631786
MLP,UAVIDS-2025,Sybil Attack,1,0.9866102493359652,0.0012065317484673108,0.9711931073234689,0.9176450789266535,0.9080054114463855
MLP,UAVIDS-2025,Sybil Attack,2,0.9920283132868246,0.0015197923832996633,0.973440719235812,0.9393173347300914,0.9018293041585789
MLP,UAVIDS-2025,Sybil Attack,3,0.990243058676687,0.0010160531528613645,0.9711181869263907,0.9191355145176097,0.9011234633256867
MLP,UAVIDS-2025,Sybil Attack,4,0.9899897730711371,0.0014106848864981717,0.9713804083161641,0.9327281649500316,0.9023586847832481
MLP,UAVIDS-2025,Blackhole Attack,0,0.7686547248682558,0.3813056100951671,0.4855193539404066,0.6633539304095999,0.898704429044893
MLP,UAVIDS-2025,Blackhole Attack,1,0.7499216601093277,0.4243412358440459,0.48893065998329155,0.6760562572579605,0.8981018379029828
MLP,UAVIDS-2025,Blackhole Attack,2,0.7998843846580797,0.3249268836446637,0.530771372876636,0.6961530505451023,0.8977402832178367
MLP,UAVIDS-2025,Blackhole Attack,3,0.7954183964592417,0.33809384664340536,0.5320941241993874,0.695677890946776,0.8967761373907803
MLP,UAVIDS-2025,Blackhole Attack,4,0.7306128739577723,0.4456125245877983,0.45084934558618767,0.6470301501053748,0.9019584212112082
MLP,UAVIDS-2025,Wormhole Attack,0,0.9081889884472744,0.14129470710505643,0.6549958193979933,0.7165446671165312,0.9204819277108434
MLP,UAVIDS-2025,Wormhole Attack,1,0.8955761711262746,0.16279822239099567,0.6573648272017837,0.6977453287114543,0.9262048192771084
MLP,UAVIDS-2025,Wormhole Attack,2,0.8563816533980833,0.23252268653984562,0.6401895206243032,0.7381230690961852,0.9060843373493976
MLP,UAVIDS-2025,Wormhole Attack,3,0.8737103318183546,0.1836083876105529,0.658270624303233,0.7362154838725548,0.9078915662650603
MLP,UAVIDS-2025,Wormhole Attack,4,0.8675363742201487,0.20107151336358756,0.6422101449275363,0.7311593250907105,0.916144578313253
MLP,UAVIDS-2025,Flooding Attack,0,0.9872192892900111,0.0013533500490262905,0.9726996061582528,0.9278898991043607,0.9049910474485229
MLP,UAVIDS-2025,Flooding Attack,1,0.9886204368837024,0.0013406070493199133,0.9747583243823845,0.9297184258566966,0.904487466427932
MLP,UAVIDS-2025,Flooding Attack,2,0.9834295354376346,0.008824181696796034,0.9350608664518439,0.9113763642110821,0.8987242614145031
