dataset,held_out,seed,shift_balacc,shift_Brier_temp,marginal_cov_shift,balanced_cov_shift,setsize_shift,marginal_cov_seen,balanced_cov_seen,shift_AURC,ECE_raw_seen,ECE_raw_shift,Brier_raw_shift,ECE_temperature_seen,ECE_temperature_shift,Brier_temperature_shift,ECE_platt_seen,ECE_platt_shift,Brier_platt_shift,ECE_isotonic_seen,ECE_isotonic_shift,Brier_isotonic_shift
UAV-NIDD,BruteForce,0,0.9976863478873903,0.0007254351311239125,0.5929833445869908,0.2995168395623135,0.5929833445869908,0.9143890389536536,0.4646046465430839,6.336743739284268e-06,4.676100770415075e-05,0.0006123004628114018,0.0007236933029000348,4.6490771878379834e-05,0.000642556635847343,0.0007254351311239125,4.6233574737683934e-05,0.0006194437623390464,0.0007144612409659259,3.1188246959615315e-05,0.0006123046987908091,0.0005941481788716971
UAV-NIDD,De-authentication,0,0.998050139275766,0.0004019789334650324,0.84482653496738,0.4743256196083801,0.84482653496738,0.912698193469974,0.46207687413032383,1.9708322628750034e-07,4.540017388216796e-05,0.00040472280707431026,0.0003865842059900063,3.329592117024234e-05,0.00043526003003478567,0.0004019789334650324,3.1624082362664304e-05,0.0004126416063456522,0.0003949105005601433,4.361551231581295e-05,0.000469386899034849,0.000358433063597234
UAV-NIDD,DDoS,1,0.9941091210270214,0.011462036127934505,0.0010975766123862034,0.0596100278551532,0.0010975766123862034,0.9099025602009295,0.5241878228292007,0.001014832483790684,3.807836733692345e-05,0.014083900885412044,0.011536150530485718,5.710250591285189e-05,0.014676808329136289,0.011462036127934505,4.858922807846283e-05,0.008917249320347419,0.011306296657243146,4.812407741693315e-05,0.011127494961722618,0.010628891138613358
UAV-NIDD,UDP Flooding,1,0.9994428969359331,3.379991911537214e-05,0.833945785081193,0.5418935669683739,0.833945785081193,0.9105774318534828,0.5802855701837285,3.801836526234262e-08,4.11953664432152e-05,0.00036556556603347117,4.6541817001108694e-05,6.362602842385816e-05,0.00026364661824056777,3.379991911537214e-05,4.885110290049773e-05,0.00032085143213229147,4.000677795224811e-05,5.3738909359678697e-05,0.00010312772673071062,1.7075310581817122e-05
UAV-NIDD,MITM,1,0.9993043617150024,0.00040136934864571234,0.958052170738227,0.5617693158322623,0.958052170738227,0.9126750246993492,0.5462388604503733,4.104647371912133e-06,2.6618129151838257e-05,0.0005090008564752724,0.0004061426059817068,3.8641887232627385e-05,0.00045150439422483895,0.00040136934864571234,2.7289381691460155e-05,0.0004767544998949295,0.0003919235918592962,5.863963329692509e-05,0.0005025346192395228,0.0003415012386756736
UAV-NIDD,Jamming,1,0.9816544353974717,0.03324714875803095,0.011452932365479894,0.13844011142061283,0.011452932365479894,0.9071509013047938,0.5931020026829719,0.006034364139175541,4.505663513329984e-05,0.04396380824233938,0.033537555432424135,6.425310390929649e-05,0.041474880654467694,0.03324714875803095,4.097803353194747e-05,0.040196436000515715,0.03292803030917518,5.8347708863781945e-05,0.05806854807200108,0.03945990503581011
UAV-NIDD,BruteForce,1,0.99896542073869,0.0008088448975523088,0.641486608147648,0.41196721824118676,0.641486608147648,0.9145489764003412,0.5512815460572077,6.280728961742235e-06,3.0848744212844426e-05,0.0006480513279252065,0.0007855335965626255,5.4904119603449616e-05,0.0007074106396930092,0.0008088448975523088,4.1588059374383145e-05,0.0007319689677233238,0.0007841435686547518,8.46918771890462e-05,0.0008643490247236902,0.0007543836829081562
UAV-NIDD,De-authentication,1,0.9994428969359331,0.00012337243214300184,0.8686665447228827,0.5402391202608002,0.8686665447228827,0.911613999226562,0.5195646510659656,5.949747298387939e-08,2.736997335603667e-05,0.00010596746843165727,0.00012317944088206608,3.053400872501547e-05,0.00010944111549558643,0.00012337243214300184,2.9166362088380314e-05,0.00011360108498290297,0.00012457159072970286,3.4925347597603575e-05,8.073924670938715e-05,0.00011595263245058006
UAV-NIDD,DDoS,2,0.9737518316082594,0.03034520225517104,8.206180279523015e-05,0.004180861240155601,8.206180279523015e-05,0.9162916044109155,0.4699185477293317,0.004011078038894986,3.5998978794114915e-05,0.039354795263630823,0.02917243236926162,2.363849628209772e-05,0.03978446252562649,0.03034520225517104,3.583032823389502e-05,0.03792148872773102,0.028270853051976748,2.0463115385658067e-05,0.04694977930330335,0.03805349696274221
UAV-NIDD,UDP Flooding,2,0.9983286908077995,4.327566946490606e-05,0.8258006081387074,0.5127227625966965,0.8258006081387074,0.9114052605526823,0.5612364468404129,9.84249491826636e-08,7.483860935050498e-05,0.00020371744975939486,4.785853333967611e-05,5.863959288513203e-05,0.00012094430829469503,4.327566946490606e-05,6.682466995964066e-05,0.0001743367207778095,4.606835177964052e-05,4.953452005667799e-05,0.00012754935928129633,4.738215102446905e-05
UAV-NIDD,MITM,2,0.9976030301267339,0.0012701632544922514,0.005307045853136959,0.027457721215242203,0.005326604990187833,0.9169676012673321,0.49000813920652386,0.00026939451001951984,5.4483965922179874e-05,0.0010775076948479963,0.0012191584793774578,3.3880938141224055e-05,0.0012582428088392691,0.0012701632544922514,4.856258130827842e-05,0.0011277490532934946,0.0012057705921178353,4.970645212506369e-05,0.0011656538785212675,0.0009642201396977172
UAV-NIDD,Jamming,2,0.9840618638847225,0.026889797385468314,0.004608825901601567,0.055710306406685235,0.004608825901601567,0.9122223098939093,0.5170441823204731,0.001705657252204419,4.492993775432203e-05,0.027608646362248596,0.02665889250994293,2.548161027529415e-05,0.02879830187973298,0.026889797385468314,4.271249310410394e-05,0.02695685017672532,0.02621386594232511,6.161936762126159e-05,0.030892509413982465,0.029108606677164795
UAV-NIDD,BruteForce,2,0.9979791100205322,0.0006969821188197896,0.6424769300022507,0.43783269728688357,0.6424769300022507,0.9143801535399488,0.5857244056430044,2.795939840460314e-06,2.7057039242885327e-05,0.0007049767432416993,0.0006858676285635952,4.87797511757256e-05,0.0007079233674310639,0.0006969821188197896,2.502486195029916e-05,0.0007179213108213108,0.0006784967553016666,5.614332370771414e-05,0.0007433635899799482,0.0006743567423532739
UAV-NIDD,De-authentication,2,0.9983286908077995,0.00036342156998173423,0.8458630571306628,0.47808371955356993,0.8458630571306628,0.9131056295232307,0.46558381324081277,3.4592517733273916e-07,3.2946846206743734e-05,0.00032380122755978094,0.00035740222872242283,2.457450876387553e-05,0.0003555360245292409,0.00036342156998173423,3.09452228375403e-05,0.00035461507451468573,0.00036140147911059757,1.8236926198568585e-05,0.0003746865827945223,0.00034599339656778025
