dataset,held_out,seed,shift_balacc,seen_balacc,shift_ECE,seen_ECE,shift_Brier,shift_cov_marg,shift_cov_bal,seen_cov_marg,shift_setsize,shift_AURC,set_empty,set_normal_only,set_attack_only,set_both
UAV-CAS,Blackhole,3,0.503281014650944,0.7003622268386825,0.4754593049155329,0.09359105003687991,0.4524824157562304,0.571404728789986,0.68198514941558,0.847397476340694,1.3510431154381084,0.6716454185730119,0.0,0.6483449235048678,0.000611961057023644,0.3510431154381085
UAV-CAS,Blackhole,4,0.5042882603626062,0.7000661599713055,0.470646657362397,0.09173105307615032,0.4487439522024952,0.5585535465924896,0.6724523002904562,0.8423698738170347,1.3346314325452018,0.6731690567650025,0.0,0.664923504867872,0.0004450625869262865,0.33463143254520167
UAV-CAS,Blackhole,5,0.5034601021552427,0.6998014404232645,0.4787073078726858,0.09576849770307731,0.455717577881678,0.557663421418637,0.6718801584681413,0.8434542586750788,1.3316272600834493,0.671717663376184,0.0,0.6678720445062587,0.0005006954102920723,0.3316272600834492
UAV-CAS,Blackhole,6,0.5047806699994157,0.7017224097285828,0.47047344825208137,0.09105103313297762,0.4485627182424495,0.5751877607788596,0.6848794981842192,0.8490733438485805,1.3557162726008345,0.6646069185797756,0.0,0.6439499304589708,0.00033379694019471486,0.3557162726008345
UAV-CAS,Blackhole,7,0.5031291783679988,0.6991500773824709,0.4759884459249346,0.09773473769203919,0.4539516536429477,0.5521001390820585,0.667709312905215,0.8408911671924291,1.3273991655076496,0.674771516769148,0.0,0.6721557719054242,0.0004450625869262865,0.3273991655076495
UAV-CAS,Blackhole,8,0.5042057248723454,0.6999268297006092,0.4730925929765773,0.09221927205896363,0.45142519046611806,0.5583866481223922,0.6723725681049508,0.8470031545741324,1.337134909596662,0.6748317756457376,0.0,0.6621974965229486,0.0006675938803894297,0.33713490959666204
UAV-CAS,Blackhole,9,0.504601582495117,0.699733507954233,0.47220610754928904,0.09305405114026888,0.4512492912136317,0.5470375521557719,0.6639980191482338,0.8409897476340694,1.317663421418637,0.6771709376703974,0.0,0.681557719054242,0.0007788595271210014,0.317663421418637
UAV-CAS,Wormhole,0,0.5069669674595993,0.6979916874180131,0.4386391330596728,0.09355737576678883,0.4323742082478393,0.5497876921236768,0.653352895417566,0.8490475274196652,1.3011183541654208,0.6464197254276798,0.0,0.6974463249805634,0.001435320854015908,0.3011183541654207
UAV-CAS,Wormhole,1,0.505535338856298,0.6963166948087103,0.44058302276272215,0.09547176845558081,0.433963911687949,0.5350158483344297,0.6419043684443628,0.8363478930152011,1.2785120507146701,0.6449774517501794,0.0,0.7205908737515698,0.0008970755337599426,0.27851205071467017
UAV-CAS,Wormhole,2,0.5055725557474775,0.6980876206433698,0.447058902846276,0.09983619985498732,0.43925919903882293,0.563243825130076,0.6637494107914811,0.8507792957475466,1.3208540159081394,0.6417698382302992,0.0,0.6783087135936846,0.0008372704981759464,0.32085401590813944
UAV-CAS,Wormhole,3,0.5052255202186006,0.6985678701224456,0.43829727393453405,0.09019923574240421,0.43055968124396593,0.5564858561090844,0.658547790463733,0.8489513180681162,1.3096704742539322,0.6434265365967639,0.0,0.6899108904969798,0.0004186352490879732,0.3096704742539322
UAV-CAS,Wormhole,4,0.5062599015236503,0.6960039803444149,0.44019217215735973,0.09286087274251856,0.43204235528026325,0.5426708928891812,0.6478750828600259,0.8434673850298249,1.2894563722265415,0.6453866400506298,0.0,0.7094073320973626,0.0011362956760959273,0.28945637222654147
UAV-CAS,Wormhole,5,0.5060520070424384,0.698191005723815,0.44246992051262946,0.09505340062783023,0.4342928317695304,0.5499671072304289,0.6536089118026146,0.8423128728112372,1.295377070749357,0.6418085444807287,0.0,0.7038454637880509,0.0007774654625919503,0.2953770707493571
UAV-CAS,Wormhole,6,0.5050626128429182,0.6969177923013681,0.43616723541683594,0.09069987569918839,0.42993907794845804,0.5392022008253095,0.6452838381521391,0.8439484317875697,1.2861072902338377,0.6488022781166605,0.0,0.7131750493391543,0.000717660427007954,0.2861072902338377
UAV-CAS,Wormhole,7,0.5060463266936263,0.6971844031167572,0.445471127412142,0.0990069601018748,0.43881460444955855,0.5348364332276778,0.6419628061130547,0.8408697325380027,1.2794091262484302,0.6476224048410172,0.0,0.7199330183601459,0.0006578553914239579,0.2794091262484301
UAV-CAS,Wormhole,8,0.5051380915580462,0.6957330602491894,0.4398744937175059,0.09469299995811165,0.43208367465758396,0.5368698044375336,0.6434099751450564,0.8389455455070233,1.281442497458286,0.6450023265504391,0.0,0.7174810119012021,0.001076490640511931,0.281442497458286
UAV-CAS,Wormhole,9,0.505959942965841,0.6983399111008742,0.4463041519166863,0.09934454561167307,0.43851852501979444,0.5506249626218528,0.6540366507104647,0.8453915720608043,1.3037497757311165,0.6470782124503665,0.0,0.6952933436995395,0.0009568805693439388,0.30374977573111656
UAV-CAS,Replay,0,0.5047266313932981,0.6476410707959432,0.04287220196179796,0.11472459088255449,0.19731044194323646,0.8808980213089802,0.7696023212152244,0.8564380858411446,1.526128868594622,0.2640629101182797,0.0,0.47234906139015725,0.0015220700152207,0.526128868594622
UAV-CAS,Replay,1,0.4999260397109859,0.6485665966328016,0.04519413312664154,0.11318539437343683,0.1979027255485535,0.8787417554540842,0.7658895147067191,0.8395823055418516,1.509005580923389,0.2606956883784039,0.0,0.4889649923896499,0.0020294266869609334,0.5090055809233891
UAV-CAS,Replay,2,0.504241907037606,0.6511892312432761,0.050463149947519194,0.10875299388673039,0.19809265074198662,0.8769660071029934,0.7622711497980315,0.8478046373951653,1.5204211060375443,0.25951602464848,0.0,0.4778031456113648,0.0017757483510908167,0.5204211060375444
UAV-CAS,Replay,3,0.5034010354440462,0.649133910745125,0.0495269068623297,0.11041343559120236,0.19845646444858137,0.8716387620497209,0.7517392046424305,0.846982404209834,1.5074835109081683,0.2612712736490748,0.0,0.4908675799086758,0.0016489091831557584,0.5074835109081685
UAV-CAS,Replay,4,0.5064334072936224,0.6491759911790312,0.0497926855092388,0.1101343789852275,0.19669840192433313,0.882800608828006,0.7726597257780053,0.851258016773557,1.5216894977168949,0.25767811733162505,0.0,0.4771689497716895,0.001141552511415525,0.521689497716895
